vendor_id,average_variance_percentage,has_overdue_invoice,vendor_risk,gold_load_timestamp
V0331,-4.66,1,Medium Risk,2026-07-12T09:07:55.104Z
V0273,-3.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0498,-3.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0051,-2.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0492,-4.08,1,Medium Risk,2026-07-12T09:07:55.104Z
V0425,-2.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0295,-3.67,1,Medium Risk,2026-07-12T09:07:55.104Z
V0356,-4.53,1,Medium Risk,2026-07-12T09:07:55.104Z
V0209,-4.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0247,-4.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0466,-3.46,1,Medium Risk,2026-07-12T09:07:55.104Z
V0042,-4.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0147,-3.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0233,-3.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0189,-4.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0294,-7.45,1,Medium Risk,2026-07-12T09:07:55.104Z
V0082,-4.46,1,Medium Risk,2026-07-12T09:07:55.104Z
V0355,-3.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0344,-5.43,1,Medium Risk,2026-07-12T09:07:55.104Z
V0193,-2.42,1,Medium Risk,2026-07-12T09:07:55.104Z
V0402,-2.82,1,Medium Risk,2026-07-12T09:07:55.104Z
V0319,-3.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0304,-5.3,1,Medium Risk,2026-07-12T09:07:55.104Z
V0312,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0134,-3.11,1,Medium Risk,2026-07-12T09:07:55.104Z
V0426,-2.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0382,-3.36,1,Medium Risk,2026-07-12T09:07:55.104Z
V0074,-6.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0288,-1.74,1,Medium Risk,2026-07-12T09:07:55.104Z
V0300,-5.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0179,-5.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0067,-1.62,1,Medium Risk,2026-07-12T09:07:55.104Z
V0143,-2.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0235,-2.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0310,-3.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0236,-2.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0211,-4.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0201,-4.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0248,-3.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0238,-5.35,1,Medium Risk,2026-07-12T09:07:55.104Z
V0035,-3.6,1,Medium Risk,2026-07-12T09:07:55.104Z
V0469,-3.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0256,0.47,1,Medium Risk,2026-07-12T09:07:55.104Z
V0396,-3.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0099,-2.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0088,6.24,1,Medium Risk,2026-07-12T09:07:55.104Z
V0063,-5.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0062,-4.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0264,-3.82,1,Medium Risk,2026-07-12T09:07:55.104Z
V0207,-4.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0133,-3.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0309,-3.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0286,-7.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0447,1.21,1,Medium Risk,2026-07-12T09:07:55.104Z
V0364,-5.37,1,Medium Risk,2026-07-12T09:07:55.104Z
V0213,-3.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0156,-3.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0216,-2.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0277,-5.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0044,-1.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0208,-5.65,1,Medium Risk,2026-07-12T09:07:55.104Z
V0437,-2.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0174,-3.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0432,-3.51,1,Medium Risk,2026-07-12T09:07:55.104Z
V0023,-7.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0338,-3.95,1,Medium Risk,2026-07-12T09:07:55.104Z
V0254,-0.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0460,-3.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0341,-2.2,1,Medium Risk,2026-07-12T09:07:55.104Z
V0263,-3.3,1,Medium Risk,2026-07-12T09:07:55.104Z
V0145,28.45,1,High Risk,2026-07-12T09:07:55.104Z
V0391,-2.77,1,Medium Risk,2026-07-12T09:07:55.104Z
V0009,-3.01,1,Medium Risk,2026-07-12T09:07:55.104Z
V0487,-4.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0228,-1.16,1,Medium Risk,2026-07-12T09:07:55.104Z
V0360,-3.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0480,-0.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0168,-0.14,1,Medium Risk,2026-07-12T09:07:55.104Z
V0194,-4.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0276,-7.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0073,-4.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0339,-5.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0155,-4.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0272,-5.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0137,-4.71,1,Medium Risk,2026-07-12T09:07:55.104Z
V0231,-4.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0289,-4.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0450,-5.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0229,-4.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0102,-9.14,1,Medium Risk,2026-07-12T09:07:55.104Z
V0093,-1.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0161,-2.36,1,Medium Risk,2026-07-12T09:07:55.104Z
V0311,-8.39,1,Medium Risk,2026-07-12T09:07:55.104Z
V0381,-3.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0119,-5.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0385,-3.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0245,-3.92,1,Medium Risk,2026-07-12T09:07:55.104Z
V0105,-3.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0191,-5.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0394,-4.93,1,Medium Risk,2026-07-12T09:07:55.104Z
V0434,-2.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0076,-5.34,1,Medium Risk,2026-07-12T09:07:55.104Z
